asset_id,substation_id,transformer_name,mva_rated,voltage_class_kv,manufacturer,year_commissioned,cooling_type,latitude,longitude,insulation_class
TRF001,SUB001,Northgate T1,100,132,ABB,2005,ONAN,51.5123,-0.1234,A
TRF002,SUB001,Northgate T2,100,132,Siemens,2007,ONAN,51.5124,-0.1232,A
TRF003,SUB002,Riverside T1,63,66,GE,2001,ONAF,51.4987,-0.0891,A
TRF004,SUB002,Riverside T2,63,66,ABB,2003,ONAF,51.4988,-0.0890,A
TRF005,SUB003,Eastfield T1,40,33,Schneider,1998,ONAN,51.5234,-0.2341,B
TRF006,SUB003,Eastfield T2,40,33,Schneider,1999,ONAN,51.5235,-0.2340,B
TRF007,SUB004,Millbrook T1,200,275,ABB,2010,OFAF,51.4812,-0.3102,A
TRF008,SUB004,Millbrook T2,200,275,Alstom,2011,OFAF,51.4813,-0.3101,A
TRF009,SUB005,Southside T1,31.5,33,GE,1994,ONAN,51.4654,-0.0123,B
TRF010,SUB005,Southside T2,31.5,33,Areva,1996,ONAN,51.4655,-0.0122,B
TRF011,SUB006,Central T1,150,132,Siemens,2015,OFAF,51.5231,-0.0891,A
TRF012,SUB006,Central T2,150,132,Siemens,2016,OFAF,51.5232,-0.0890,A
TRF013,SUB007,Western T1,60,66,ABB,2000,ONAF,51.5012,-0.3451,A
TRF014,SUB007,Western T2,60,66,ABB,2002,ONAF,51.5013,-0.3450,A
TRF015,SUB008,Airport T1,100,132,GE,2018,OFAF,51.4778,-0.4567,A
